base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
tarkistaa	1	Check	(tags: model:check.01)	varmistua asiasta	NULL	NULL	NULL	NULL	00637868, 00636711	5730e9b
tarkkailla	1	Observe	(tags: model:observe.01)	Tarkkailla, havainnoida	NULL	NULL	NULL	NULL	02027240	355987c
tarkoittaa	1	Mean, intend, stand for	Note: not in sync with mean.01, English frameset does not cover case where both agent and the thing bearing meaning are present	Tarkoittaa, antaa merkitys tai kantaa merkitystä	Huom! Ei synkr. mean.01:n kanssa, englannin kehysjoukko ei kata tapausta, jossa sekä agentti että merkityksellinen asia ovat läsnä	NULL	NULL	NULL	NULL	4f8a8e8
tarkoittaa	2	Intended for something	NULL	Joksikin, johonkin, jollekin tai jotakin varten tarkoitettu	NULL	NULL	NULL	NULL	NULL	NULL
tarpoa	1	Scuffle, slouch	Note: not in sync with slouch.01, no arga in Finnish	Laahustaa	Huom! Ei synkr. slouch.01:n kanssa, suomessa ei arga:ta	NULL	NULL	2835	NULL	NULL
tarttua	1	Grab, take hold of	Not in sync with grab.01, no arg2 in PB	Tarttua, ottaa ote jostakin	Ei synkr. grab.01:n kanssa, ei arg2:sta PB:ssa	NULL	NULL	NULL	01159972	1473588
tarttua	2	Adhere, stick to	Not in sync with adhere.01, no arg0 in Finnish (tags: seed:tarttua)	Tarttua, jäädä kiinni johonkin	Ei synkr. adhere.01:n kanssa, ei arg0:a suomessa	NULL	NULL	NULL	01300697	370cd74
tarttua	3	Be transmitted	NULL	Tarttua, siirtyä toisesta toiseen	NULL	NULL	NULL	NULL	NULL	381e90c
tarvita	1	Need, require		Tarvita, vaatia	NULL	NULL	NULL	NULL	01137033	3fcabc1
tasaannuttaa	1	Steady, make steady	NULL	Tasaannuttaa	NULL	NULL	NULL	NULL	NULL	NULL
tasata	1	Level, smooth	(tags: model:level.01)	Tasata, tasoittaa	NULL	level.01	NULL	NULL	NULL	NULL
tasoittaa	1	grade	NULL	tehdä tasaiseksi	NULL	NULL	NULL	NULL	NULL	NULL
tasoittaa	2	square (in sports)	NULL	tehdä tasoitus	NULL	NULL	NULL	NULL	NULL	NULL
tasoittua	1	Become more even, tie (in sports)	Note: not in sync. with even.01, no arg0 in Finnish, and not with tie.03, this is the match tieing, not the participants.	Muuttua tasaisemmaksi	Huom! Ei synkr. even.01:n kanssa, suomessa ei arg0:a, eikä tie.03:n kanssa, tässä tasoittuu peli, eivät osanottajat.	none.01	NULL	NULL	NULL	NULL
tassutella	1	Walk as if with paws	(tags: seed:kävellä, model:walk.01)	Kävellä kuin tassuilla	NULL	none.01	NULL	1071	NULL	NULL
tatuoida	1	Tattoo	tags:model:tattoo.01\n	Tatuoida	NULL	NULL	NULL	NULL	NULL	NULL
tavata	1	Meet someone or something	(tags: seed:kohdata, model:meet.02)	Kohdata joku tai jokin		meet.02	NULL	NULL	02591665, 02077400	332420c
tavata	2	Be in the habit of doing something	NULL	Olla tapana	NULL	none.01	NULL	NULL	02569234	1fb4485
tavoitella	1	Aim at something, apply to somewhere, try to do something	(tags: model:strive.01, seed:pyrkiä)	Tavoitella jotakin, tähdätä johonkin, hakea jonnekin	NULL	strive.01	NULL	NULL	00967931, 00668857	1e80ccd
tavoittaa	1	Reach, get a contact	(tags: model:reach.02)	Tavoittaa, saada yhteys	NULL	reach.02	NULL	NULL	NULL	NULL
teeskennellä	1	Pretend	(tags: model:pretend.01)	Teeskennellä	NULL	pretend.01	NULL	NULL	NULL	NULL
teettää	1	Cause someone to do something	NULL	Teettää	NULL	NULL	NULL	NULL	NULL	NULL
tehdä	1	Make, do, produce something	(tags: model:make.01, seed:valmistaa)	Valmistaa, tehdä jotakin	(tags: model:make.01, seed:valmistaa)	NULL	NULL	NULL	01663147	519edfb
tehdä	2	Perform, do	Note: not in sync with perform.01, Finnish has also arg3	Toimittaa, toimia, tehdä, puuhata	Huom! Ei synkr. perform.01:n kanssa, suomessa myös arg3	NULL	NULL	805	NULL	NULL
tehdä	3	turn	(tags: model:turn.02)	tehdä joksikin	NULL	NULL	NULL	NULL	NULL	1282bce
tehdä	4	feel like	(tags: phrasal)	tehdä mieli	NULL	NULL	NULL	NULL	NULL	188a2dc
tehdä	5	Be good/bad for someone, do good/bad	NULL	olla hyväksi/pahaksi, tehdä hyvää/pahaa	NULL	NULL	NULL	NULL	NULL	2b9a987
tehdä	6	Make a profit	(tags: phrasal)	Tehdä voittoa/tili, tienata	NULL	NULL	NULL	NULL	NULL	37e20a7
tehdä	7	Be on first name terms	(tags: phrasal)	Tehdä sinunkaupat	NULL	NULL	NULL	NULL	NULL	3c334dc
tehdä	8	hurt	(tags: phrasal)	tehdä kipeää	NULL	NULL	NULL	NULL	NULL	3dcf8b6
tehdä	9	Impress	(tags: model:impress.01, phrasal)	Tehdä vaikutus	NULL	NULL	NULL	NULL	NULL	3dd8de7
tehostaa	1	rationalize	NULL	saada joku prosessi tehokkaammaksi	NULL	rationalize.01	NULL	NULL	NULL	NULL
tehota	1	Work, function, operate	Note: not in sync with work.09, no causer in finnish	Olla käyttökunnossa, toimia halutulla tavalla	Huom! Ei synkr. work.09:n kanssa, ei aiheuttajaa suomessa	NULL	NULL	1735	NULL	NULL
tehtailla	1	Make, do, produce something	(tags: model:make.01, seed:valmistaa)	Valmistaa, tehdä jotakin	(tags: model:make.01, seed:valmistaa)	NULL	NULL	601	NULL	NULL
teilata	1	Prevent, reject, block	NULL	Torjua, estää	NULL	none.01	NULL	1790	NULL	NULL
tekeytyä	1	Self-contained process	NULL	Itsekseen valmistuva prosessi	NULL	none.01	NULL	NULL	NULL	NULL
teloittaa	1	Execute	tags:model:execute.01	Teloittaa	NULL	NULL	NULL	NULL	NULL	NULL
temmeltää	1	Play games, usually children	(tags:model:play.01)	Leikkiä, yleensä lapset	NULL	NULL	NULL	1230	NULL	NULL
tepastella	1	Use one's feet to advance	(tags: seed:kävellä, model:walk.01)	Käyttää jalkoja etenemiseen	NULL	NULL	NULL	1071	NULL	NULL
terrorisoida	1	terrorize	NULL	aiheuttaa kaaos	NULL	NULL	NULL	NULL	NULL	NULL
tervehtiä	1	Greet, say hello	NULL	Tervehtiä	NULL	none.01	NULL	NULL	NULL	NULL
terästää	1	Spice, flavour	NULL	Maustaa	NULL	NULL	NULL	3039	NULL	NULL
testata	1	Research, do research	(tags: model:research.01, seed:tutkia)	Perehtyä, tutkia	(tags: model:research.01, seed:tutkia)	NULL	NULL	NULL	02048886	109b220
teurastaa	1	Kill, murder	(tags: model:kill.01, seed:tappaa)	Tappaa, murhata	NULL	NULL	NULL	NULL	01270228, 02372302	7825a7
tiedostaa	1	Understand, know something	(tags: seed:ymmärtää, model:understand.01)	Ymmärtää, tietää jotain	NULL	NULL	NULL	NULL	00562421, 00690644	200eca8
tiedottaa	1	Report	(tags: model:report.01)	Tiedottaa	NULL	report.01	NULL	NULL	01019656	15ad039
tiedustella	1	Ask a question	(tags: model: ask.01, seed:kysyä)	Kysyä, tiedustella	NULL	NULL	NULL	NULL	NULL	NULL
tienata	1	Earn, make, get paid	(tags: seed:ansaita)	Hankkia tuloja, saada palkkaa	NULL	NULL	NULL	NULL	02190689, 02190206	223b244
tietää	1	Know	Not in sync with know.01, different arg2	Tietää, olla tietoinen	Ei synkr. know.01:n kanssa, eri arg2	none.01	NULL	NULL	00572550	2d586d3
tietää	2	Mean, spell	Not in sync with mean.01, no arg0 in Finnish	Tietää, enteillä	Ei synkr. mean.01:n kanssa, ei arg0:a suomessa	none.01	NULL	NULL	00834644	276a0fc
tihentyä	1	Thicken	Note: not in sync with thicken.01, no arg0 in Finnish	Tihetä	Huom! Ei synkr. thicken.01:n kanssa, suomessa ei arg0:a	NULL	NULL	3100	NULL	NULL
tihetä	1	Thicken	Note: not in sync with thicken.01, no arg0 in Finnish	Tihetä	Huom! Ei synkr. thicken.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
tiirailla	1	Look at something	(tags: model:watch.01, seed:katsella)	Tarkastella jotain silmin	NULL	NULL	NULL	1321	NULL	NULL
tiivistyä	1	Become tighter, grow more intense	NULL	Tiivistyä, tulla tiiviimmäksi	NULL	none.01	NULL	NULL	NULL	NULL
tiivistää	1	Compact, compress	(tags: model:compact.01)	Tiivistää, tehdä tiiviimmäksi	NULL	compact.01	NULL	NULL	NULL	NULL
tikittää	1	Strike, beat	(tags: seed:lyödä, model:hit.01)	Lyödä, kumauttaa, rummuttaa	(tags: seed:lyödä, model:hit.01)	hit.01	NULL	NULL	01323437, 01778250	5c46ab2
tilata	1	Order, request to be delivered	(tags: model:order.02)	Tilata, pyytää toimitettavaksi		order.02	NULL	NULL	02362526,02346184	a60e89
tinkiä	1	Compromise, be ready to sacrifice something	NULL	Tehdä kompromissi, olla valmis luopumaan jostakin	NULL	None.01	NULL	NULL	NULL	NULL
tipahtaa	1	Fall, move downward, decrease	(tags: model:fall.01 seed:pudota)	Pudota jostakin, tippua alaspäin, vähentyä	(tags: model:fall.01 seed:pudota)	NULL	NULL	286	NULL	NULL
tippua	1	Fall, move downward, decrease	(tags: model:fall.01 seed:pudota)	Pudota jostakin, tippua alaspäin, vähentyä	(tags: model:fall.01 seed:pudota)	NULL	NULL	NULL	02268970	1c3a640
tiputella	1	Drop, cause to fall	(tags: model:drop.01)	Tiputtaa, pudottaa	NULL	NULL	NULL	3445	NULL	NULL
tiputtaa	1	Drop, cause to fall	(tags: model:drop.01)	Tiputtaa, pudottaa	NULL	drop.01	NULL	NULL	NULL	NULL
tiskata	1	do the dishes	NULL	pestä astiat	NULL	NULL	NULL	NULL	NULL	NULL
tislata	1	Distill	NULL	Tislata	NULL	NULL	NULL	NULL	NULL	NULL
tituleerata	1	Call someone by a name	Note! Not in sync with name.01 or name.02, possible for both arg2s to occur in the same instance (tags: seed:nimetä)	Kutsua jotakuta jollakin nimellä	Huom! Ei synkr. name.01 tai name.02:n kanssa, molempien arg2:t voivat esiintyä samassa esimerkissä (tags: seed:nimetä)	NULL	NULL	209	NULL	NULL
tiukentaa	1	Tighten	NULL	Kiristää	NULL	NULL	NULL	2828	NULL	NULL
tiukentua	1	Become tighter, tighten	Not in sync with tighten.01, no arg0 in Finnish	Kiristyä, tulla kireemmäksi	Ei synkr. tighten.01:n kanssa, suomessa ei arg0:a	NULL	NULL	3502	NULL	NULL
tiuskaista	1	snap	NULL	vastata äkäisesti	NULL	snap.01	NULL	NULL	NULL	NULL
tivata	1	Ask a question	(tags: model: ask.01, seed:kysyä)	Kysyä kysymys	NULL	NULL	NULL	793	NULL	NULL
todentaa	1	Indicate, show, prove	(tags: model:indicate.01, seed:osoittaa)	Osoittaa, näyttää, todistaa		NULL	NULL	650	NULL	NULL
todeta	1	State, say	(tags: model:state.01)	Todeta, sanoa	NULL	state.01	NULL	NULL	00840142	e75a0e
todeta	2	Find, discover	NULL	Todeta, havaita	NULL	none.01	NULL	NULL	NULL	45afaa8
todistaa	1	Indicate, show, prove	(tags: model:indicate.01, seed:osoittaa)	Osoittaa, näyttää, todistaa		NULL	NULL	NULL	00777940	5e15c7c
toeta	1	Manage, survive, sober	(tags: model:survive.01, seed:selvitä)	Selvitä, säilyä hengissä, selvitä humalasta	(tags: model:survive.01, seed:selvitä)	NULL	NULL	349	NULL	NULL
tohtia	1	Dare, have the courage to do something	synset 02432196, 02272417\nN.b. Not in sync with dare.01, different arg0	Uskaltaa tehdä jotakin, juljeta	Huom! Ei synkr. dare.01:n kanssa, eri arg0	NULL	NULL	2744	NULL	NULL
toimeenpanna	1	Put into effect, execute	NULL	Panna täytäntöön	NULL	carry.03	NULL	81	NULL	NULL
toimia	1	Act in a position	(tags: model:act.01, seed:istua)	Olla toimessa	NULL	NULL	NULL	NULL	01035044	38ea39
toimia	2	Work, function, operate	Note: not in sync with work.09, no causer in finnish	Olla käyttökunnossa, toimia halutulla tavalla	Huom! Ei synkr. work.09:n kanssa, ei aiheuttajaa suomessa	NULL	NULL	NULL	02478529	4ca7b2f
toimia	3	Act, do something	Note: not in sync with act.02, no arg1 in Finnish	tehdä jotakin, ryhtyä johonkin, tarttua toimeen	Huom! Ei synkr. act.02:n kanssa, ei arg1:ä suomessa	NULL	NULL	NULL	02622097	4b545db
toimittaa	1	Deliver	(tags: model:deliver.01)	Jakaa eteenpäin	NULL	NULL	NULL	NULL	01848397	704bfc
toimittaa	2	Edit	(tags: model:edit.01)	Editoida	NULL	NULL	NULL	NULL	00913480	567f29
toimittaa	3	Perform, do	(tags: model:perform.01, seed:toimittaa)	Toimittaa, tehdä	NULL	NULL	NULL	NULL	02248358	28d365e
toipua	1	Recover, get better	tags:model:recover.01	Parantua		NULL	NULL	2398	NULL	NULL
toistaa	1	Repeat, say again	(tags: model:repeat.01, seed:toistaa)	Toistaa, sanoa uudelleen	(tags: model:repeat.01, seed:toistaa)	repeat.01	NULL	NULL	00904590, 01098833	2b8050b
toistella	1	Repeat, say again	(tags: model:repeat.01, seed:toistaa)	Toistaa, sanoa uudelleen	(tags: model:repeat.01, seed:toistaa)	NULL	NULL	338	NULL	NULL
toistua	1	Happen again, repeat itself	Not in sync with repeat.01, no arg0 in Finnish	Toistua, tapahtua uudelleen	Ei synkr. repeat.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
toivoa	1	Wish	(tags: model:hope.01)	Toivoa	NULL	hope.01	NULL	NULL	01724299	3a0077f
toivottaa	1	Wish	(tags: model:wish.01)	Toivottaa	NULL	wish.01	NULL	NULL	NULL	NULL
tokaista	1	Say something, utter (out loud), speak, pronounce	(tags: seed:sanoa) Note: Not in sync with say.01, no arg3 in Finnish	Sanoa jotakin, lausahtaa (ääneen), ääntää	Huom. Ei synkr. say.01:n kanssa, suomessa ei arg3:a	none.01	NULL	1680	NULL	NULL
toppuutella	1	Prevent	Note: not in sync with prevent.01; that's done according to syntax, cllq	Toimia niin, ettei jotakin tapahdu	Huom! Ei synkr. prevent.01:n kanssa, se on tehty syntaksin mukaan	NULL	NULL	3144	NULL	NULL
torjua	1	Prevent, reject, block	NULL	Torjua, estää	NULL	NULL	NULL	NULL	02345406	3b0a510
torkkua	1	Doze	tags:model:doze.01	Torkkua	NULL	NULL	NULL	2636	NULL	NULL
totella	1	Obey, follow the rules	(tags: model:obey.01)	Totella, toimia sääntöjen mukaan	NULL	obey.01	NULL	NULL	NULL	NULL
toteuttaa	1	carry out, implement	Sometimes according to orders or conditions (tags: model:carry.03)	suorittaa joku asia	Joskus ohjeiden tai ehtojen mukaisesti	NULL	NULL	NULL	02272605	5a64b04
toteutua	1	come true	NULL	tapahtua lopultakin	NULL	NULL	NULL	NULL	NULL	NULL
tottua	1	Get used to, get adjusted to	NULL	Tottua, mukautua	NULL	NULL	NULL	NULL	00146560	40a0d47
totutella	1	Accustom oneself to	NULL	Totutella	NULL	NULL	NULL	NULL	NULL	NULL
totuttaa	1	inure, discipline	NULL	saada tottumaan johonkin	NULL	NULL	NULL	NULL	NULL	NULL
totuttautua	1	Get used to	NULL	Totuttautua	NULL	none.01	NULL	NULL	NULL	NULL
touhuilla	1	Perform, do	Note: not in sync with perform.01, Finnish has also arg3	Toimittaa, toimia, tehdä, puuhata	Huom! Ei synkr. perform.01:n kanssa, suomessa myös arg3	NULL	NULL	2436	NULL	NULL
translitteroida	1	Transliterate, transform into a different writing system	NULL	Translitteroida, siirtää toiseen kirjoitusjärjestelmään	NULL	none.01	NULL	NULL	NULL	NULL
transponoitua	1	Change, transform, vary	N.b! Not in sync with change.01, no arg0 (tags: seed:muuttua)	Tulla muuksi, toisenlaiseksi kuin aiemmin, vaihdella	Huom! Ei synkr. change.01:n kanssa, ei arg0 (tags: seed:muuttua)	NULL	NULL	930	NULL	NULL
traumatisoida	1	Traumatize	NULL	Traumatisoida, järkyttää	NULL	NULL	NULL	NULL	NULL	NULL
treenata	1	Practice	(tags: model:practice.01)	Harjoitella	NULL	NULL	NULL	2241	NULL	NULL
tuhertaa	1	Write, communicate in writing		Ilmaista, kommunikoida kirjoittamalla	NULL	NULL	NULL	1536	NULL	NULL
tuhista	1	Doze	(tags:model:doze.01)	Torkkua	NULL	NULL	NULL	2636	NULL	NULL
tuhlata	1	Spend, arse about	NULL	Tuhlata	NULL	NULL	NULL	NULL	NULL	NULL
tuhota	1	Destroy, ruin utterly	(tags: seed:tuhota, model:destroy.01)	Turmella, tärvellä, hajottaa täysin	NULL	NULL	NULL	NULL	02445370, 01501987	40d853b
tuhoutua	1	be destroyed	NULL	hävitä kokonaan onnettomuuden seurauksena	NULL	NULL	NULL	NULL	NULL	NULL
tuhraantua	1	wasting tame	(tags:phrasal)	kulua aikaa hukkaan	NULL	NULL	NULL	NULL	NULL	NULL
tuijotella	1	Stare, look intently	(tags: model:stare.01)	Tuijottaa, katsoa pitkään	NULL	NULL	NULL	1893	NULL	NULL
tuijottaa	1	Stare, look intently	(tags: model:stare.01)	Tuijottaa, katsoa pitkään	NULL	stare.01	NULL	NULL	NULL	NULL
tukahduttaa	1	Suppress	(tags: model:suppress.01)	Tukahduttaa	NULL	suppress.01	NULL	NULL	NULL	NULL
tukea	1	Prop, support	Note: concrete or abstract (tags: model:prop.01)	Tukea, pitää pystyssä	Huom! Konkreettinen tai abstrakti	none.01	NULL	NULL	01166464	f09f85
tukeutua	1	Lean	NULL	Nojata	NULL	NULL	NULL	2383	NULL	NULL
tukkeutua	1	Become clogged	Note: not in sync with clog.02, no arg0 in Finnish	Mennä tukkoon	Huom! Ei synkr. clog.02:n kanssa, ei arg0:a suomessa	none.01	NULL	NULL	NULL	NULL
tuksuttaa	1	Movement, go from somewhere to somewhere	Note: not in sync with go.01 or go.02, VVB in Finnish (tags: VVB)	Liikettä, mennä jostain johonkin	Huom! Ei synkr. go.01:n tai go.02:n kanssa, VVB suomessa	NULL	NULL	2127	NULL	NULL
tulittaa	1	Shoot, fire a shot	Literal or figurative. Note: not in sync with fire.01, arg1 is the shot here.	Ampua, laukaista	Kirjaimellinen tai kuvainnollinen. Huom! Ei synkr. fire.01:n kanssa, tässä arg1 on laukaus.	none.01	NULL	NULL	NULL	NULL
tulkita	1	Interpret, to explain	NULL	esittää jollakin tavalla tai selittää	NULL	interpret.01	NULL	NULL	NULL	NULL
tulla	1	Come, arrive	Note: not in sync. with come.01, VVB in Finnish (tags: VVB), arg0 and arg1 mutually exclusive	Tulla, saapua	Huom! Ei synkr. come.01:n kanssa, VVB suomessa, arg0 ja arg1 toisensa poissulkevat	NULL	NULL	NULL	NULL	5345541
tulla	2	come in to effect, come into use	(tags: phrasal)	tulla voimaan, tulla käyttöön	NULL	NULL	NULL	NULL	NULL	NULL
tulla	3	Obligation	"tulee/tulisi tehdä" ("must/should do") necessive structure	Velvollisuus	"tulee/tulisi tehdä", nesessiivirakenne	NULL	NULL	NULL	NULL	154737
tulla	4	Getting something done	Note: DO NOT confuse this with "Lennon tuli murhatuksi" ("Lennon got murdered"), not the same as "tulipahan murhattua Lennon" ("[I finally] got Lennon murdered")	Jotain tulee tehdyksi/tehtyä	Huom! ÄLÄ sekoita tätä "Lennon tuli murhatuksi" -tapauksiin, ei sama kuin "tulipahan murhattua Lennon"	NULL	NULL	NULL	NULL	26eb036
tulla	5	"Future tense"	(tags: VVB) Arg0 and Arg1 mutually exclusive! Almost an auxiliary, agenthood/patienthood depends on main verb.	tulla tekemään jotakin, tulla-futuuri	Arg0 ja Arg1 toisensa poissulkevat! Lähes apuverbi, agenttius/patienttius riippuu pääverbistä.	NULL	NULL	NULL	NULL	NULL
tulla	6	Become	(tags: model:become.01)	Tulla joksikin, muuttua	NULL	NULL	NULL	NULL	NULL	38bea39
tulla	7	Originate, come up, manifest	N.b! Not in sync with manifest.01, different arg2. Tulla esiin, tulla ilmi. (tags: phrasal)	Ilmaantua, tulla esiin	Huom! Ei synkr. manifest.01:n kanssa, eri arg2. Tulla esiin, tulla ilmi.	NULL	NULL	801	NULL	186a702
tulla	8	Be/become necessary	(tags: phrasal)	Tulla tarpeeseen, tulla tarpeen	NULL	NULL	NULL	NULL	NULL	414221c
tulla	9	Come along	Note: Arg0 and arg1 mutually exclusive (tags: phrasal, VVB)	Tulla mukaan	Huom! Arg0 ja arg1 toisensa poissulkevat	NULL	NULL	NULL	NULL	4a178e4
tulla	10	(Happen to) come across	(tags: phrasal)	Tulla vastaan, sattua vastaan	NULL	NULL	NULL	NULL	NULL	1be33ca
tulla	11	Meet halfway, be helpful	(tags: phrasal)	Tulla vastaan, olla avuksi	NULL	NULL	NULL	NULL	NULL	1e76936
tulla	12	Come to mind, spring to mind, occur to someone	(tags: phrasal)	Tulla mieleen (tulla mieli)	NULL	none.01	NULL	NULL	NULL	NULL
tulla	13	Idiom: when it comes to something	(tags: phrasal)	Idiomi: mitä tulee johonkin	NULL	NULL	NULL	NULL	NULL	357a00d
tulla	14	Happen, occur, arise		Tapahtua, sattua, syntyä	NULL	NULL	NULL	1768	NULL	21e8781
tulla	15	Be put up for sale	(tags: phrasal)	Tulla myyntiin	NULL	NULL	NULL	NULL	NULL	1cf7446
tulla	16	Be spoken about, become the topic of speech	NULL	Tulla puheeksi, olla puheenaiheena	NULL	none.01	NULL	NULL	NULL	NULL
tulla	17	Come to a conclusion	Not sure if arg1 is really a theme, not an object definitely	Tulla johtopäätökseen, päätelmään, tulokseen	Ei varmaa, onko arg1 tässä teema, objekti se ei ainakaan ole	none.01	NULL	NULL	NULL	NULL
tulla	18	Be acceptable, be suitable	(tags: phrasal)	Tulla kyseeseen, olla hyväksyttävä tai sopiva	NULL	none.01	NULL	NULL	NULL	NULL
tulla	19	Come along with someone, be social	Not sure if arg1 is theme here (tags: phrasal)	Tulla toimeen jonkun kanssa, olla sosiaalinen	Ei varmaa, onko arg1 oikeasti teema	none.01	NULL	NULL	NULL	NULL
tulostaa	1	print	NULL	tuottaa tekstiä paperille	NULL	print.01	NULL	NULL	NULL	NULL
tulvia	1	Overflow, flood	NULL	Tulvia	NULL	NULL	NULL	NULL	NULL	NULL
tummua	1	Become darker	NULL	Tummua	NULL	NULL	NULL	NULL	NULL	NULL
tunkea	1	Cram, squeeze	tags:model:cram.01	Tunkea	NULL	NULL	NULL	NULL	NULL	NULL
tunkeutua	1	penetrate	NULL	hyökätä jonnekin väkivaltaisesti	NULL	penetrate.01	NULL	NULL	NULL	NULL
tunnistaa	1	Recognize, identify	(tags: model:identify.01)	Tunnistaa, tuntea joku tai jokin joksikin	NULL	NULL	NULL	NULL	00594929	134a884
tunnustaa	1	Admit, acknowledge the thruth	(tags: model: admit.01, seed:myöntää )	Myöntää, tunnustaa totuus	NULL	NULL	NULL	NULL	00774380, 00775010, 00775581	10d9749
tuntea	1	Feel a physical or emotional sensation	(tags: model:feel.01)	Kokea fyysinen tai emotionaalinen tuntemus	NULL	NULL	NULL	NULL	02014996, 01695261	344e3cd
tuntea	2	Recognize, know someone or something	(NB! Not in sync with recognize.01, arg2 added in Finnish)	Tunnistaa, tietää joku tai jokin	(Huom! Ei synkr. recognize.01:n kanssa, suomessa lisätty arg2)	NULL	NULL	NULL	00587052	c5bea
tuntua	1	Experience emotion	Note: Not in sync with feel.01, different arg2 in Finnish	Kokea jotakin	Huom! Ei synkr. feel.01:n kanssa, suomessa erilainen arg2	NULL	NULL	NULL	02594692	137570b
tuoda	1	Bring, carry along with	(tags: model:bring.01)	Tuoda, kuljettaa mukanaan	NULL	NULL	NULL	NULL	01376068	498e43f
tuoksua	1	Smell, emit an odor	(tags: model:smell.02)	Tuottaa tuoksu	NULL	smell.02	NULL	NULL	02031416	a72f8b
tuoksuta	1	Smell, emit an odor	(tags: model:smell.02)	Tuottaa tuoksu	NULL	NULL	NULL	1166	NULL	NULL
tuomita	1	Convict, find or prove guilty	(tags: model:judge.01)	määrätä syylliselle rangaistus	NULL	judge.01	NULL	NULL	02396908, 00866969	361fa37
tuomita	2	Denounce	Note: not in sync with denounce.01, no arg2 in Finnish	Arvostella ankarasti	Huom! Ei synkr. denounce.01:n kanssa, suomessa ei arg2:a	NULL	NULL	NULL	NULL	NULL
tuotatella	1	Say tuota very often	NULL	Tuotatella, sanoa tuota usein	NULL	NULL	NULL	NULL	NULL	NULL
tuottaa	1	Make, do, produce something	(tags: model:make.01, seed:valmistaa)	Valmistaa, tehdä jotakin	(tags: model:make.01, seed:valmistaa)	NULL	NULL	NULL	01663147	519edfb
tuottaa	2	Turn a profit	NULL	Tuottaa rahallista voittoa	NULL	NULL	NULL	NULL	02149999	10ef078
tuottaa	3	Produce e.g. cd or movie, be a producer	NULL	Tuottaa esim. cd tai elokuva, olla tuottaja	NULL	NULL	NULL	NULL	02062657	512ca7e
tuottaa	4	Cause	(tags: model:cause.01, seed:aiheuttaa)	Aiheuttaa, synnyttää, saada aikaan jotakin		NULL	NULL	586	NULL	1701e46
tuotteistaa	1	Productize, develop something into product	NULL	Kehittää jokin tuotteeksi	NULL	none.01	NULL	NULL	NULL	NULL
tupakoida	1	Smoke cigarettes	Not in sync with smoke.02, no arg1 in Finnish	Tupakoida, polttaa tupakkaa	Ei synkr. smoke.02:n kanssa, suomessa ei arg2:a	none.01	NULL	NULL	NULL	NULL
turhautua	1	Get bored	NULL	Kyllästyä	NULL	NULL	NULL	2459	NULL	NULL
turinoida	1	Speak	(tags: model:speak.01), cllq	Kertoa sanallisesti	NULL	NULL	NULL	2159	NULL	NULL
turkulaistua	1	Become Turku citizen	NULL	Turkulaistua	NULL	NULL	NULL	NULL	NULL	NULL
tursuta	1	be too full	NULL	valua yli	NULL	NULL	NULL	NULL	NULL	NULL
turvata	1	guarantee	(tags: model:guarantee.01 seed:taata)	turvata tai luvata jokin asia	NULL	NULL	NULL	1796	NULL	NULL
turvata	2	Protect, shield from danger, shelter	(tags: model:protect.01 seed:suojata)	Pitää turvassa, suojella	NULL	NULL	NULL	1691	NULL	NULL
turvota	1	Swell	Note: Not in synch with swell.01, no args 0, 3 or 4 in Finnish	Paisua	Huom! Ei synkr. swell.01:n kanssa, suomessa ei argumentteja 0, 3 eikä 4	NULL	NULL	2394	NULL	NULL
turvottaa	1	Bloat, make swell	tags:model:bloat.01	Turvottaa	NULL	NULL	NULL	NULL	NULL	NULL
tuskailla	1	Agonize, suffer distress	(tags: model: agonize.01)	Tuskailla, tuntea tuskaa	NULL	agonize.01	NULL	NULL	NULL	NULL
tuskastua	1	Feel annoyed	NULL	Tuskastua	NULL	NULL	NULL	NULL	NULL	NULL
tussahtaa	1	Appear in a puff	(tags: model:puff.04)	Pöllähtää, ilmestyä pöllähdyksessä	NULL	puff.04	NULL	NULL	NULL	NULL
tuta	1	Recognize, know someone or something (undeclinable)	(NB! Not in sync with recognize.01, arg2 added in Finnish)	Tunnistaa, tietää joku tai jokin (taipumaton)	(Huom! Ei synkr. recognize.01:n kanssa, suomessa lisätty arg2)	NULL	NULL	1685	NULL	NULL
tutkailla	1	Research, do research	(tags: model:research.01, seed:tutkia), less serious	Perehtyä, tutkia	(tags: model:research.01, seed:tutkia)	NULL	NULL	32	NULL	NULL
tutkia	1	Research, do research	(tags: model:research.01, seed:tutkia)	Perehtyä, tutkia	(tags: model:research.01, seed:tutkia)	research.01	NULL	NULL	02048886	109b220
tutustua	1	Familiarize oneself, acquaint oneself with something or someone, explore	N.b. Not in sync with familiarize.01, different arg0 (tags: seed:tutustua)	Tulla tutuksi jonkin kanssa, perehtyä	Huom! Ei synkr. familiarize.01:n kanssa, eri arg0 (tags: seed:tutustua)	none.01	NULL	NULL	00827025	5332c4b
tutustuttaa	1	Familiarize someone with something	Note: the entity who is being familiarized is not considered an active party (tags: model:familiarize.01)	Tutustuttaa joku johonkin	Huom! Tahoa, joka tutustutetaan, ei pidetä tässä aktiivisena osapuolena (tags: model:familiarize.01)	familiarize.01	NULL	NULL	00827025	2da8cd2
